セクション,ID,優先度,項目,前提,操作,期待結果,結果,実施日時,実施者,備考
user 基本導線,U-07,高,注文期限切れカート,注文期限を過ぎた in_cart 注文を持つアカウント,① 該当アカウントでログイン ② カート画面を開く ③ ヘッダのカート件数を確認,① 期限切れ注文がカート一覧に出ない ② ナビ件数にも含まれない ③ 有効な in_cart のみ件数に反映される,未実施,,,
user 基本導線,U-08,高,領収書,ordered 状態の注文が存在,① /u/{自分}?tab=orders を開く ② 対象注文の領収書ボタンを押す ③ PDF/領収書の表示を確認,① 領収書が取得・表示できる ② ダウンロードエラーや 500 が出ない ③ 金額・イベント名が正しい,未実施,,,
user 基本導線,U-09,高,キャンセル,キャンセル可能な ordered 注文が存在,① 注文履歴からキャンセル操作を実行 ② 確認ダイアログで確定 ③ 画面をリロードして状態を確認,① 注文がキャンセル状態に変わる ② キャンセル後も画面が正常表示 ③ 再度キャンセル操作ができない（または適切なメッセージ）,未実施,,,
マイページ・プロフィール,MP-01,必須,本人プロフィール表示,一般ユーザーでログイン済み,① /u/{自分のuid} を直接開く ② デフォルトで表示されるタブを確認 ③ アバター・表示名・自己紹介を確認,① プロフィールタブが先頭表示 ② アバター・表示名・自己紹介が表示 ③ 数値サマリー領域が表示される,未実施,,,
マイページ・プロフィール,MP-02,必須,他者プロフィール表示,他ユーザーの uid が分かっている,① 別アカウントでログイン ② /u/{他者uid} を開く ③ プロフィール情報を確認,① 他者のプロフィールが表示 ② アバター・表示名が正しい ③ エラー画面にならない,未実施,,,
マイページ・プロフィール,MP-03,必須,未ログイン表示,ログアウト済み,① ログアウト状態で /u/{任意の公開ユーザーuid} を開く ② プロフィールタブの表示を確認,① 公開プロフィールが表示される ② ログインを要求されない（Phase 1 完全公開） ③ エラーにならない,未実施,,,
マイページ・プロフィール,MP-04,必須,存在しないユーザー,存在しない uid を用意,① /u/{存在しないランダムuid} を開く ② 表示メッセージを確認,① 存在しないユーザーとしてエラー表示 ② ともだちタブ等が誤って表示されない,未実施,,,
マイページ・プロフィール,MP-05,必須,退会済みユーザー,退会済み（is_deleted=true）の uid,① /u/{退会済みuid} を開く ② 表示を確認,① 存在しないユーザーとして扱われる ② プロフィール・ともだちタブが表示されない,未実施,,,
マイページ・プロフィール,MP-06,必須,タブ構成,本人プロフィール,① 本人で /u/{自分} を開く ② タブ一覧を左から順に確認,① プロフィール・ともだち・イベント・コミュニティ・フード・注文履歴の 6 タブがすべて表示 ② タブ順が仕様どおり,未実施,,,
マイページ・プロフィール,MP-07,必須,他者の注文履歴非表示,他者プロフィール,① 別アカウントで /u/{他者uid} を開く ② タブ一覧を確認,① 注文履歴タブが表示されない ② 他 5 タブ（プロフィール/ともだち/イベント/コミュニティ/フード）は表示される,未実施,,,
マイページ・プロフィール,MP-08,必須,注文履歴直叩き,他者プロフィール,① 他者の /u/{他者uid}?tab=orders を直接開く ② 表示タブと URL を確認,① 注文履歴は表示されない ② プロフィールタブ等へフォールバック ③ 404 にならない,未実施,,,
マイページ・プロフィール,MP-09,高,ローディング表示,通信遅延を再現できる環境,① DevTools → Network で Slow 3G 等を設定 ② 本人プロフィールを開き初回ロードを観察,① 画面全体がスピナーのみにならない ② 各 v-card 枠が先に表示 ③ 内部がスケルトン/プレースホルダー表示になる,未実施,,,
マイページ・プロフィール,MP-10,高,数値サマリー,バックフィル済みユーザー,① バックフィル済みユーザーで本人プロフィールを開く ② 数値サマリーを確認 ③ Firestore users/{uid} のカウントと突合,① 画面のイベント数/ともだち数/コミュニティ数/フード数が表示 ② DB の participated_event_count friend_count joined+managed_community_count ordered_food_count と一致,未実施,,,
マイページ・プロフィール,MP-11,高,プレビュー導線,各プレビューにデータがあるユーザー,① プロフィールタブでイベント/ともだち/コミュニティ/フードの「もっと見る」を各 1 回押す ② 遷移先と URL クエリを確認,① 対応タブへ遷移する ② URL に ?tab=events ?tab=friends 等が付く ③ タブ内容がプレビューと整合,未実施,,,
マイページ・プロフィール,MP-12,高,空状態,実績なしまたは各タブ 0 件のユーザー,① イベント/コミュニティ/フード/ともだち各タブを開く ② 空メッセージを確認,① 仕様どおりの空メッセージが表示（例: まだ参加しているイベントはありません） ② 誤ったデータや壊れたレイアウトが出ない,未実施,,,
限定公開表示,PV-01,必須,本人の限定公開イベント,is_public=false のイベントに参加済み・本人アカウント,① 本人で /u/{自分}?tab=events を開く ② 限定公開イベントのカードを確認 ③ カバー/タイトルをクリック,① イベントカードが表示 ② 限定公開 チップが出る ③ クリックでイベント詳細へ遷移できる,未実施,,,
限定公開表示,PV-02,必須,他者の限定公開イベント,PV-01 と同じ対象ユーザー・別アカウントで閲覧,① 別アカウントで /u/{本人uid}?tab=events を開く ② 限定公開イベントのカードとチップを確認 ③ カバー/タイトルをクリック,① イベントカードと 限定公開 チップは表示 ② クリックしても詳細へ遷移しない（リンク無効） ③ 不具合のように見えない（チップで理由が分かる）,未実施,,,
限定公開表示,PV-03,必須,未ログインの限定公開イベント,PV-01 と同じ対象・ログアウト状態,① 未ログインで /u/{本人uid}?tab=events を開く ② カード・チップ・リンク可否を確認,① イベントカードとチップは表示 ② 詳細リンクは不可 ③ ログイン要求されない,未実施,,,
限定公開表示,PV-04,高,限定公開コミュニティ,限定公開コミュニティに参加済み,① 本人と他者の両方で /u/{uid}?tab=communities を開く ② 限定公開コミュニティの表示とリンクを確認,① 本人・他者とも一覧に表示 ② 本人のみコミュニティ詳細へリンク可能 ③ 限定公開チップは出さない（仕様）,未実施,,,
限定公開表示,PV-05,高,限定公開フード,限定公開イベント由来の注文あり,① 本人と他者で /u/{uid}?tab=foods を開く ② フードカードの表示とリンクを確認,① 本人・他者ともフードが表示 ② 本人のみイベント詳細等へリンク可能 ③ メニュー名・店舗名が表示,未実施,,,
限定公開表示,PV-06,高,注文履歴の限定公開チップ,限定公開イベントで注文済み・本人,① 本人で /u/{自分}?tab=orders を開く ② UserEventCard に URL限定公開 チップが出るか確認,① 注文履歴行は表示される ② UserEventCard では URL限定公開 チップを出さない（hidePrivateScopeChip） ③ 領収書・キャンセル等の操作 UI は従来どおり,未実施,,,
ともだち・同席記録,FR-01,必須,ともだち一覧,同席履歴（friends）があるユーザー,① /u/{uid}?tab=friends を開く ② 各 FriendCard の表示項目を確認,① プロフィール写真・表示名が表示 ② 同席回数（meet_count）が表示 ③ 初めて会った日/最後に会った日が表示 ④ 相手プロフィールへのリンクがある,未実施,,,
ともだち・同席記録,FR-02,必須,食事した回数順,ともだち 3 人以上,① ともだちタブで並び順を「食事した回数順」にする ② 上から順に各カードの同席回数を確認,① meet_count の多い順に並ぶ ② URL に sort=last_met_at が付いていない（既定ソート）,未実施,,,
ともだち・同席記録,FR-03,必須,最近会った順,ともだち 3 人以上,① 並び順を「最近会った順」に切替 ② 各カードの「最後に会った日」を上から確認,① last_met_at の新しい順に並ぶ ② 切替 UI が正常に反応する,未実施,,,
ともだち・同席記録,FR-04,高,URL クエリ同期,FR-03 実施済み,① URL が ?tab=friends&sort=last_met_at になっているか確認 ② ページをリロード ③ 並び順を再確認,① リロード後も sort=last_met_at が維持 ② 並び順も最近会った順のまま ③ ブックマーク共有で同じ表示になる,未実施,,,
ともだち・同席記録,FR-05,必須,同席記録ダイアログ,ともだち 1 人以上,① カードの「共通のイベント」を押す ② DevTools Network で getUserFriendMeetLog を確認 ③ ダイアログ内容を確認,① ダイアログが開く ② ボタン押下後に Callable が呼ばれる（一覧 API とは別） ③ 同席イベントが全件表示される,未実施,,,
ともだち・同席記録,FR-06,必須,同席記録リンク権限,限定公開同席イベントを含む友人,① 本人閲覧で FriendMeetLogDialog を開き各行のリンクを確認 ② 他者閲覧で同じダイアログを開く,① 本人閲覧: イベント詳細リンクが有効 ② 他者閲覧: 行は表示されるがリンク不可 ③ ダイアログ内に限定公開チップは出さない,未実施,,,
ともだち・同席記録,FR-07,高,退会ユーザー除外,退会済み友人が friends サブコレに残っているユーザー,① 対象ユーザーのともだちタブを開く ② 退会済み uid のカードが出ないか確認,① 退会ユーザーが一覧に出ない ② friend_count とも整合（退会者を数えない）,未実施,,,
ともだち・同席記録,FR-08,高,空状態,ともだち 0 人のユーザー,① /u/{uid}?tab=friends を開く ② 空メッセージとソート UI を確認,① 「まだ「ともだち」がいません。」相当のメッセージのみ ② ソート UI は非表示 ③ CTA ボタンは出さない,未実施,,,
ともだち・同席記録,FR-09,中,無限スクロール,ともだちが 10 人超,① ともだちタブを下までスクロール ② 追加読み込みの発火を確認 ③ 重複カードがないか確認,① has_more がある間は追加読み込みされる ② 同じ friend_user_id が重複表示されない ③ ローディング表示が適切,未実施,,,
フードタブ,FOOD-01,必須,フード一覧,注文履歴（ordered）があるユーザー,① /u/{uid}?tab=foods を開く ② 並び順を確認,① 注文単位で 1 行（カード）表示 ② 新しい順（ordered_at 降順）に並ぶ,未実施,,,
フードタブ,FOOD-02,必須,表示内容,FOOD-01 実施済み,① 各フードカードの表示項目を確認,① メニュー画像が表示 ② メニュー名・店舗名（partner 名）が表示 ③ 価格等が表示 ④ 注文日は表示しない（v2.10 仕様）,未実施,,,
フードタブ,FOOD-03,高,画像取得,Storage にメニュー画像がある注文,① フードカードの画像を確認 ② Network で画像 URL の取得を確認,① 画像が正常表示（壊れアイコンにならない） ② 403/404 が出ない,未実施,,,
フードタブ,FOOD-04,高,追加読み込み,注文が多数あるユーザー,① フードタブを下までスクロール ② 追加読み込みを確認,① getUserFoods のページングで追読みされる ② 重複行がない,未実施,,,
フードタブ,FOOD-05,高,空状態,注文なしユーザー,① /u/{uid}?tab=foods を開く,① 空メッセージ（user_profile.empty.foods 相当）が表示 ② エラーにならない,未実施,,,
partner アプリ,P-01,必須,partner ログイン,飲食店（partner）アカウント,① partner アプリ URL を開く ② ログイン ③ トップまたは注文画面へ遷移,① 旧 admin 相当にログインできる ② partner Hosting の JS が配信されている ③ ログイン後の主要画面が表示,未実施,,,
partner アプリ,P-02,必須,店舗情報,partner ログイン済み,① 店舗画面を開く ② 店舗名・住所等を確認 ③ 1 項目を編集して保存,① 店舗情報が表示 ② 編集・保存が成功 ③ リロード後も反映,未実施,,,
partner アプリ,P-03,必須,メニュー,partner ログイン済み・メニューあり,① メニュー一覧を開く ② 既存メニューの表示を確認 ③ 必要なら 1 項目を編集保存,① メニュー一覧が表示 ② 編集・保存ができる ③ 画像・価格が正しい,未実施,,,
partner アプリ,P-04,必須,注文一覧,注文があるイベント,① partner の注文一覧を開く ② イベント単位の一覧を確認,① 注文があるイベントが表示 ② 件数・ステータスが妥当,未実施,,,
partner アプリ,P-05,必須,注文詳細,注文詳細画面に遷移可能,① 注文一覧から任意注文の詳細を開く ② 注文内容を確認 ③ キャンセル済み注文があればページ下部のキャンセル理由を確認,① 注文内容・メニュー・金額が表示 ② キャンセル理由がページ下部に表示（該当時） ③ 操作導線が崩れていない,未実施,,,
partner アプリ,P-06,高,コミュニティ管理,user 側でコミュニティ管理者権限あり,① user の管理画面からコミュニティ管理を開く ② メンバー/招待/Slack設定/レター/アルバム等のタブを確認,① 各タブが表示・操作可能 ② base 化後のパネルが正しく組み立てられている ③ 直接 URL 遷移・リロードでも空表示にならない,未実施,,,
partner アプリ,P-07,高,イベント管理,管理対象イベントあり,① イベント管理の概要/参加者/フライヤー/設定/中止/削除を順に確認,① 各タブ・ダイアログが表示 ② 参加者一覧・CSV・権限変更等が動く ③ 中止/削除フローがエラーなく完了,未実施,,,
partner アプリ,P-08,高,フライヤー PDF,イベント作成済み・管理者,① イベント管理 → フライヤー ② A4 と利用可能な別サイズをダウンロード,① PDF が正常取得・表示 ② Adobe PDF Services エラーが出ない ③ flyer 関数の URL 形式が維持されている,未実施,,,
partner アプリ,P-09,高,名札 PDF,参加者がいるイベント,① 名札出力画面から PDF を生成 ② デフォルトプロフィール画像のユーザーが含まれる場合はその行も確認,① PDF が正常生成 ② デフォルトプロフィール画像（PNG）が正しく埋め込まれる ③ Google プレースホルダーが使われない,未実施,,,
partner アプリ,P-10,高,ClientError app,partner で再現可能なエラー or 520 画面,① partner で ZodError 等を誘発、または 520 画面を確認 ② Cloud Logging で jsonPayload.app を検索,① app=partner として ERROR ログが記録 ② app=admin では記録されない ③ 520 画面が表示される場合もログ方針に沿う,未実施,,,
Functions デプロイ,FN-01,必須,Functions デプロイ,production push 済み or workflow 実行済み,① GitHub Actions で Deploy functions ワークフローを開く ② 最新 run の結果を確認,① workflow が success ② build / deploy ステップがすべて緑 ③ exit code 0,未実施,,,
Functions デプロイ,FN-02,必須,codebase 一本化,Firebase CLI または Console アクセス可能,① firebase functions:list --project {本番} を実行 ② codebase 列を確認,① codebase が default のみ ② legacy / slackbot / linebot codebase がない,未実施,,,
Functions デプロイ,FN-03,必須,旧関数削除,Functions 一覧を確認可能,① 一覧で send_email scheduled_firestore_export on_write_community_members（旧名）等を検索 ② Gen1 旧 bot 関数 8 件の残存を確認,① send_email が存在しない ② 旧 codebase の関数が残っていない ③ 新関数名（backupFirestore onCommunityMemberWritten 等）のみ,未実施,,,
Functions デプロイ,FN-04,高,Cold Start,デプロイ直後,① slackbot flyer getUserFriends 等を初回実行 ② Functions ログで起動エラーを確認,① module load error が出ない ② Secret 未設定による 500 が出ない ③ Healthcheck 失敗がない,未実施,,,
注文確定・Stripe,ORD-01,必須,Stripe Checkout,注文受付中イベント・Stripe テスト環境,① user で Checkout まで進みテストカードで決済 ② 注文履歴と Firestore member_orders を確認,① 決済成功 ② status=ordered ③ Stripe Dashboard に決済記録,未実施,,,
注文確定・Stripe,ORD-02,必須,Webhook 504 対策,ORD-01 実施直後,① Cloud Logging で stripeWebhook の最新実行を確認 ② 実行時間とエラーを確認,① timeout（504）せず正常終了 ② メモリ・timeout 拡張後も安定,未実施,,,
注文確定・Stripe,ORD-03,高,注文確定副作用ログ,ORD-01 実施済み,① Cloud Logging で orderConfirmedSideEffects 関連ログを検索 ② 各ステップの開始ログを確認,① 各副作用ステップの開始ログが出る ② 致命的エラーで全体が止まっていない,未実施,,,
注文確定・Stripe,ORD-04,高,友人履歴更新,2 人以上が参加済みのイベント,① 新規ユーザーが同イベントで注文確定 ② Firestore users/{A}/friends/{B} と B→A を確認,① 双方向 friends ドキュメントが作成/更新 ② meet_count と event_history に event_id が追加 ③ friend_count が再集計される,未実施,,,
注文確定・Stripe,ORD-05,高,注文取消副作用,キャンセル可能な ordered 注文,① 注文をキャンセル ② 友人履歴と friend_count を確認,① event_history から該当 event_id が除去（または meet_count 減少） ② 相手側のカウントも整合,未実施,,,
Slack,SLK-01,必須,OAuth,Slack App・テスト WS 準備済み,① user 管理画面 → コミュニティ → Slack設定 ② インストール URL から OAuth 完了,① 成功画面表示 ② Firestore に slackbots/{teamId} と channels/{channelId} 作成 ③ communities/{id}/bots に登録,未実施,,,
Slack,SLK-02,必須,add コマンド,SLK-01 完了・同一チャンネル,① Slack で /{SLACK_COMMAND_NAME} add {community_account}-{community_id} を実行,① 「コミュニティ ○○ を登録しました！」メッセージ ② communities/{id}/bots/{botKey} が作成,未実施,,,
Slack,SLK-03,必須,remove コマンド,SLK-02 完了,① Slack で remove コマンドを実行,① 「コミュニティ ○○ を削除しました！」 ② bots ドキュメントが削除,未実施,,,
Slack,SLK-04,必須,注文通知,bots 登録済み・注文受付中イベント,① user で 1 品だけ注文確定 ② Slack チャンネルと slackOrderNotification ログを確認,① Slack に 1 件通知 ② 形式: {ユーザー} さんが、{イベント} で、{メニュー} を注文したよ！ ③ Functions エラーなし,未実施,,,
Slack,SLK-05,必須,複数品注文通知,bots 登録済み,① 同一注文で 2〜3 メニューを同時確定 ② Slack 通知件数を確認,① Slack 通知は 1 件のみ ② メニュー名が A×2 と B 形式で集約 ③ member_orders 複数更新でも Webhook POST は 1 回,未実施,,,
Slack,SLK-06,高,イベント通知,bots 登録済み,① 対象時刻に合うイベントを用意 ② Cloud Scheduler で slackEventNotification を手動実行 or 1〜2 分待機,① 注文期限3日前/1日前/確定/開始60分前/終了のいずれかが届く ② bots 未登録コミュニティでは通知なし（全体失敗しない）,未実施,,,
Slack,SLK-07,高,bots 未登録,bots なしコミュニティ,① 注文確定またはイベント通知条件を満たす,① Slack 通知なし ② Functions ログに No bots found（info）程度 ③ 他処理は継続,未実施,,,
LINE,LIN-01,必須,HTTP ブロードキャスト,LINE_CHANNEL_ACCESS_TOKEN 登録済み,① broadcast_event_message_request の URL に GET/POST ② HTTP ステータスと LINE 端末を確認,① HTTP 200 OK ② LINE 公式アカウントにカルーセル配信 ③ Functions ログに失敗がない,未実施,,,
LINE,LIN-02,必須,配信内容,公開・受付中・締切未来・空席ありイベントが存在,LIN-01 実行後に LINE カルーセルを確認,① 最大 10 件のイベント ② イベント名・日時・場所・URL・カバー画像が含まれる,未実施,,,
LINE,LIN-03,高,満席除外,満席イベントのみ or 混在,LIN-01 実行,① 満席イベントはカルーセルに含まれない ② 空席ありのみ配信,未実施,,,
LINE,LIN-04,高,対象なし,該当イベント 0 件の状態,LIN-01 実行,① HTTP 200 で終了 ② ログに carouselCount: 0 等 ③ 500 エラーにならない,未実施,,,
PDF・バックアップ・ログ,PDF-01,必須,flyer PDF,ログイン済み・イベントあり,① user イベント管理 → フライヤー → A4 ダウンロード ② Network で flyer URL を確認,① PDF 正常取得・表示 ② URL が .../flyer/{eventId}?size=... 形式 ③ 401/500 が出ない,未実施,,,
PDF・バックアップ・ログ,PDF-02,高,名札 PDF,参加者あり,① 名札 PDF を出力 ② デフォルト画像ユーザー行を確認,① PDF 正常生成 ② default_profile.png が使われる,未実施,,,
PDF・バックアップ・ログ,BKP-01,必須,Firestore backup,バケット・IAM・Scheduler 設定済み,① GCP Cloud Scheduler で backupFirestore を「今すぐ実行」 ② バケットに新規 export フォルダがあるか確認,① ログに Firestore export started ② バケットに新規 export ③ 旧 scheduled_firestore_export は存在しない,未実施,,,
PDF・バックアップ・ログ,LOG-01,高,イベント変更ログ,管理権限でイベント編集可能,① イベント名等を 1 項目変更して保存 ② communities/{cid}/events/{eid}/logs を確認,① logs に差分ドキュメント追加 ② 同一内容の再保存では新規 log なし,未実施,,,
PDF・バックアップ・ログ,LOG-02,高,コミュニティメンバー再集計,コミュニティメンバー変更可能,① メンバー参加 or 退会 or マネージャー権限変更 ② community_num_members と users の joined/managed_community_count を確認,① community_num_members が更新 ② 該当ユーザーのプロフィールカウントが更新 ③ onCommunityMemberWritten のみ実行（二重トリガーなし）,未実施,,,
バックフィル・データ整合,BF-01,必須,backfillUserFriends 認可,support と非 support の 2 アカウント,① 非 support で backfillUserFriends を呼ぶ ② support で呼ぶ,① 非 support は permission-denied ② support は成功（または dry_run 応答）,未実施,,,
バックフィル・データ整合,BF-02,必須,backfillUserFriends dry run,support アカウント,① dry_run: true で backfillUserFriends を実行 ② レスポンスの集計を確認,① scanned/updated 等の集計が返る ② Firestore に friends が書き込まれない,未実施,,,
バックフィル・データ整合,BF-03,必須,backfillUserFriends 本実行,BF-02 確認済み・小範囲指定,① event_id_from/to 等で範囲を絞り dry_run: false で実行 ② 対象 users/{uid}/friends を確認,① 指定範囲の friends が作成/補正 ② meet_count と event_history が整合 ③ 明らかな不整合がない,未実施,,,
バックフィル・データ整合,BF-04,必須,backfillUserProfileCounts dry run,support アカウント,① dry_run: true で backfillUserProfileCounts を実行 ② レスポンスを確認,① scanned_users_count 等が返る ② users ドキュメントは更新されない,未実施,,,
バックフィル・データ整合,BF-05,必須,backfillUserProfileCounts 本実行,BF-04 確認済み,① user_id_from/to で小範囲 dry_run: false ② users/{uid} のカウントフィールドを確認,① participated_event_count friend_count joined_community_count managed_community_count ordered_food_count が更新 ② 画面の数値サマリーと一致,未実施,,,
バックフィル・データ整合,BF-06,高,resume token,対象が 1 回の上限を超える,① 1 回目実行で返った resume_token を使い 2 回目を実行 ② 処理済み uid が重複しないか確認,① 2 回目が続きから処理 ② 重複更新・抜けがない,未実施,,,
バックフィル・データ整合,BF-07,高,退会者除外,退会友人が friends に残るユーザー,① getUserFriends 一覧と friend_count を確認 ② 退会 uid が一覧に出ないか確認,① 退会者は一覧に出ない ② friend_count に含まれない ③ friends サブコレ doc は残置でも可（Phase 1 設計）,未実施,,,
バックフィル・データ整合,BF-08,高,冪等性,BF-03 または BF-05 実行済み,① 同じ範囲・同条件で再実行 ② 件数とカウントを比較,① 件数・カウントが壊れない ② 二重加算されない,未実施,,,
Firestore / Storage ルール,SEC-01,必須,users/{uid}/friends 直 read,ログイン済み・Firestore コンソール or アプリから,① クライアントから users/{uid}/friends を get/list しようとする,① permission-denied ② Callable 経由のみ取得可能,未実施,,,
Firestore / Storage ルール,SEC-02,必須,users/{uid}/friends 直 write,ログイン済み,① クライアントから friends ドキュメントを set/update しようとする,① permission-denied ② Functions のみ書き込み可能,未実施,,,
Firestore / Storage ルール,SEC-03,必須,プロフィールカウント改ざん,本人ログイン,① users/{自分} で friend_count 等を直接 update しようとする,① 拒否される or 既存値維持が必須 ② recount のみがカウントを更新,未実施,,,
Firestore / Storage ルール,SEC-04,高,users Storage,本人と他者の 2 アカウント,① 他者の users/{uid}/ 配下を read ② 本人で write ③ 他者で write,① read は成功（公開） ② 本人 write は成功 ③ 他者 write は拒否,未実施,,,
Firestore / Storage ルール,SEC-05,高,communities Storage,管理者と非管理者,① 管理者で communities/{id}/ 配下に write ② 非管理者で write,① 管理者（or support）は成功 ② 非管理者は拒否,未実施,,,
Firestore / Storage ルール,SEC-06,高,partners Storage,店舗アカウントと他者,① partner_id=auth.uid で write ② 他 uid で write,① 店舗本人は成功 ② 他者は拒否,未実施,,,
Firestore / Storage ルール,SEC-07,高,assets Storage,任意,① assets/ 配下を read ② write を試行,① read は成功 ② write は拒否,未実施,,,
CI / デプロイ / リリース運用,REL-01,必須,release PR,release/2.10.0 ブランチ準備済み,① release/2.10.0 → development の PR を作成 ② PR verify 通過後にマージ,① verify 成功後にマージ可能 ② development が 2.10.0 bump で更新される,未実施,,,
CI / デプロイ / リリース運用,REL-02,必須,タグ付与位置,REL-01 マージ済み,① development を pull ② git tag v2.10.0 をマージ後 HEAD に付与,① タグがマージ後の development HEAD を指す ② release ブランチ上の仮タグではない,未実施,,,
CI / デプロイ / リリース運用,REL-03,必須,main / production 同期,REL-02 タグ付与済み,① git branch -f main development ② git branch -f production development ③ 各 ref が同一コミットか確認,① main / production / v2.10.0 が同一コミット ② package.json が 2.10.0,未実施,,,
CI / デプロイ / リリース運用,REL-04,必須,production push,REL-03 完了,① git push origin main production v2.10.0 を実行 ② GitHub Actions を確認,① production push で Deploy workflow が自動起動 ② development は push しない（PR マージ済みのため）,未実施,,,
CI / デプロイ / リリース運用,REL-05,必須,Deploy user,REL-04 後,① Actions で Deploy user の最新 run を確認,① success ② user Hosting が更新 ③ 本番 user アプリが新ビルド,未実施,,,
CI / デプロイ / リリース運用,REL-06,必須,Deploy partner,REL-04 後,① Deploy partner の最新 run を確認,① success ② partner Hosting が更新 ③ partner ログインが可能,未実施,,,
CI / デプロイ / リリース運用,REL-07,必須,Deploy functions,REL-04 後,① Deploy functions の最新 run を確認,① success ② 新 Functions がデプロイ ③ 旧 codebase なし,未実施,,,
CI / デプロイ / リリース運用,REL-08,必須,Deploy firestore,REL-04 後,① Deploy firestore を確認 ② firestore.rules と indexes が反映されているか確認,① success ② friends 用インデックス等がデプロイ済み,未実施,,,
CI / デプロイ / リリース運用,REL-09,必須,Deploy storage,REL-04 後,① Deploy storage を確認,① success ② storage.rules（パス別権限）が反映,未実施,,,
